iter	Logloss
0	0.6839488524
1	0.6761022083
2	0.6684783197
3	0.661338088
4	0.6549114383
5	0.6484772127
6	0.6426452433
7	0.637068781
8	0.6316813498
9	0.6265870363
10	0.6217547842
11	0.6170915478
12	0.612617992
13	0.6084474963
14	0.6044782929
15	0.6006648691
16	0.5969904189
17	0.5935945467
18	0.5902254106
19	0.5870207974
20	0.5839445577
21	0.5810803772
22	0.5782961974
23	0.5755703812
24	0.5730234144
25	0.5705800574
26	0.568270631
27	0.5660094732
28	0.5638198293
29	0.5616982362
30	0.5597147493
31	0.5578320246
32	0.5559424298
33	0.5541480276
34	0.5524183577
35	0.5507657643
36	0.5491322855
37	0.5475757632
38	0.5461158809
39	0.5446551039
40	0.5432123989
41	0.5418893993
42	0.5406540705
43	0.5394029288
44	0.5381625341
45	0.5370301882
46	0.5359034738
47	0.5347995226
48	0.5337493446
49	0.5327443173
50	0.5317370815
51	0.5307937372
52	0.5298518617
53	0.5289426932
54	0.5280780334
55	0.5272221936
56	0.5263892968
57	0.5255743442
58	0.5248062374
59	0.5240876051
60	0.5233435337
61	0.5226293452
62	0.5219192207
63	0.5212286684
64	0.5205716666
65	0.5199130416
66	0.5192655285
67	0.5186888699
68	0.5180527611
69	0.5174811898
70	0.5169520396
71	0.5164070076
72	0.5158697428
73	0.5153638657
74	0.5148750077
75	0.5143949192
76	0.5138837285
77	0.5133916798
78	0.5129502122
79	0.5124787171
80	0.5120835842
81	0.5116681767
82	0.5112798671
83	0.5108948301
84	0.5105084315
85	0.5101527663
86	0.5097506012
87	0.5094341181
88	0.5090418639
89	0.5086804637
90	0.5083863217
91	0.5080694747
92	0.5077169201
93	0.5073785743
94	0.5070426624
95	0.5067105943
96	0.5064186513
97	0.5061146581
98	0.5058192799
99	0.5055348268
