iter	Passed	Remaining
0	2409	238522
1	4736	232107
2	6203	200579
3	7991	191801
4	9062	172182
5	10433	163457
6	11502	152815
7	13511	155379
8	14558	147198
9	15497	139479
10	16383	132554
11	17202	126149
12	18857	126199
13	20884	128289
14	22703	128655
15	25394	133321
16	27082	132227
17	28816	131274
18	30537	130187
19	31347	125391
20	32397	121876
21	33750	119661
22	35535	118966
23	36489	115548
24	37485	112455
25	38257	108885
26	39036	105542
27	39954	102739
28	40781	99844
29	41511	96859
30	42354	94272
31	43960	93415
32	44961	91286
33	45759	88827
34	46779	86876
35	48551	86314
36	49542	84355
37	50613	82579
38	51397	80391
39	52636	78955
40	54031	77752
41	55580	76753
42	56559	74974
43	57574	73276
44	59102	72236
45	60248	70726
46	61568	69428
47	62770	68001
48	64114	66731
49	65382	65382
50	66146	63552
51	66932	61784
52	67722	60055
53	68489	58342
54	69191	56611
55	69878	54904
56	70639	53289
57	72143	52241
58	73045	50760
59	73844	49229
60	74539	47656
61	76208	46708
62	77223	45353
63	78124	43944
64	79079	42581
65	79871	41145
66	80625	39711
67	81908	38545
68	83095	37332
69	83894	35954
70	84577	34545
71	85346	33190
72	86088	31840
73	86832	30508
74	88314	29438
75	89253	28185
76	90053	26899
77	90902	25639
78	91814	24406
79	92713	23178
80	93560	21946
81	94992	20852
82	95866	19635
83	96572	18394
84	97371	17183
85	98936	16105
86	100045	14949
87	101569	13850
88	102471	12665
89	103519	11502
90	104310	10316
91	105159	9144
92	105978	7976
93	106964	6827
94	107882	5678
95	108757	4531
96	109660	3391
97	110516	2255
98	111275	1123
99	112252	0
